chain_name;wallet_address;transaction_type;transaction_status;sent_amount;transaction_url;date;error
Binance Smart Chain;0x9edFF45fb47dd8eE43F2227eafE9345D3D30b63a;SELF-transaction;SUCCESS;0.00015510204081632654;https://testnet.bscscan.com/tx/0x598d81acc1faa2f31ca818936bd0ee249b127e52fb3ffed7b05d9c0ff5b431dd;14-11-2023;-
Binance Smart Chain;0x1364aa030fF4F4a683B8E07471b70b4627d03476;RANDOM-transaction;SUCCESS;0.0004857142857142857;https://testnet.bscscan.com/tx/0xd48786718535d7282e9ad0ee7c29bc006ec903ddc25b183120e4d8c0a84d6fc2;14-11-2023;-
Binance Smart Chain;0xAc64062A39172ef043DC68bdAC0e8a94FC19042e;SELF-transaction;SUCCESS;0.0007612244897959185;https://testnet.bscscan.com/tx/0xf0b9c5686c7db6329edbfa1ce5bc743d8350b3ab64aa959780ef5679889aa1b2;14-11-2023;-
Polygon;0x9edFF45fb47dd8eE43F2227eafE9345D3D30b63a;RANDOM-transaction;SUCCESS;0.0003755102040816327;https://mumbai.polygonscan.com/tx/0x2fea412b23fb39c8986146d82cecf212f4e35d92a573a08ad414ef1d6ec2b925;14-11-2023;-
Polygon;0xd9594eeD6a297D7c8DA4887b5A204c539E4fA0f7;SELF-transaction;SUCCESS;0.0009081632653061226;https://mumbai.polygonscan.com/tx/0x8143c92978fa1f4ad7f73844de28285dee9104a51c3243ba7e0ddc4091c0b495;14-11-2023;-
Polygon;0xAc64062A39172ef043DC68bdAC0e8a94FC19042e;SELF-transaction;SUCCESS;0.00019183673469387756;https://mumbai.polygonscan.com/tx/0xd5e2777dbcaccbfbdc2366ae9a82e762f63cef718c5c2934b453846d8a94613a;14-11-2023;-
Binance Smart Chain;0x1364aa030fF4F4a683B8E07471b70b4627d03476;RANDOM-transaction;SUCCESS;0.0009265306122448981;https://testnet.bscscan.com/tx/0x957e13f151da5d928a4ab9791e59c62736ebbc5d0db6e17bfcec3656e3cc00c4;14-11-2023;-
Polygon;0x9edFF45fb47dd8eE43F2227eafE9345D3D30b63a;RANDOM-transaction;SUCCESS;0.00039387755102040817;https://mumbai.polygonscan.com/tx/0xbb3e2f75e4a8031d2c54576863f70f34e3d1c027103a57dbbf04154bea424fa2;14-11-2023;-
Polygon;0xd9594eeD6a297D7c8DA4887b5A204c539E4fA0f7;RANDOM-transaction;SUCCESS;0.000889795918367347;https://mumbai.polygonscan.com/tx/0xa0c0df309295e3c0f695d0cb1d34b5adb84bb575756c09f04473acd3fe1ea218;14-11-2023;-
Polygon;0xAc64062A39172ef043DC68bdAC0e8a94FC19042e;RANDOM-transaction;SUCCESS;0.00035714285714285714;https://mumbai.polygonscan.com/tx/0x91fd7953cce31decb007e57a2303b32a89fcd4333338ddc5f9cf16dcebfb1aea;14-11-2023;-
Polygon;0x1364aa030fF4F4a683B8E07471b70b4627d03476;RANDOM-transaction;ERROR;0.00033877551020408165;-;14-11-2023;{'code': -32000, 'message': 'ALREADY_EXISTS: already known'}
Polygon;0x1364aa030fF4F4a683B8E07471b70b4627d03476;RANDOM-transaction;SUCCESS;0.0005408163265306123;https://mumbai.polygonscan.com/tx/0x7349e6153842fd273ea8455d46818acf3e2678ab0d105bb599b158a5de3c015b;14-11-2023;-
